IndelType_476_full,indel_type,Indel_subtype,Figlabel,,
T[Del(C):R9]A,Deletion,Del(C),T[Del(C):R9]A,,TRUE
T[Del(C):R9]G,Deletion,Del(C),T[Del(C):R9]G,,TRUE
T[Del(C):R9]T,Deletion,Del(C),T[Del(C):R9]T,,TRUE
A[Del(T):R1]A,Deletion,Del(T),A[Del(T):R1]A,,TRUE
A[Del(T):R1]C,Deletion,Del(T),A[Del(T):R1]C,,TRUE
A[Del(T):R1]G,Deletion,Del(T),A[Del(T):R1]G,,TRUE
A[Del(T):R2]A,Deletion,Del(T),A[Del(T):R2]A,,TRUE
A[Del(T):R2]C,Deletion,Del(T),A[Del(T):R2]C,,TRUE
A[Del(T):R2]G,Deletion,Del(T),A[Del(T):R2]G,,TRUE
A[Del(T):R3]A,Deletion,Del(T),A[Del(T):R3]A,,TRUE
A[Del(T):R3]C,Deletion,Del(T),A[Del(T):R3]C,,TRUE
A[Del(T):R3]G,Deletion,Del(T),A[Del(T):R3]G,,TRUE
A[Del(T):R4]A,Deletion,Del(T),A[Del(T):R4]A,,TRUE
A[Del(T):R4]C,Deletion,Del(T),A[Del(T):R4]C,,TRUE
A[Del(T):R4]G,Deletion,Del(T),A[Del(T):R4]G,,TRUE
A[Del(T):R5]A,Deletion,Del(T),A[Del(T):R5]A,,TRUE
A[Del(T):R5]C,Deletion,Del(T),A[Del(T):R5]C,,TRUE
A[Del(T):R5]G,Deletion,Del(T),A[Del(T):R5]G,,TRUE
A[Del(T):R6]A,Deletion,Del(T),A[Del(T):R6]A,,TRUE
A[Del(T):R6]C,Deletion,Del(T),A[Del(T):R6]C,,TRUE
A[Del(T):R6]G,Deletion,Del(T),A[Del(T):R6]G,,TRUE
A[Del(T):R7]A,Deletion,Del(T),A[Del(T):R7]A,,TRUE
A[Del(T):R7]C,Deletion,Del(T),A[Del(T):R7]C,,TRUE
A[Del(T):R7]G,Deletion,Del(T),A[Del(T):R7]G,,TRUE
A[Del(T):R8]A,Deletion,Del(T),A[Del(T):R8]A,,TRUE
A[Del(T):R8]C,Deletion,Del(T),A[Del(T):R8]C,,TRUE
A[Del(T):R8]G,Deletion,Del(T),A[Del(T):R8]G,,TRUE
A[Del(T):R9]A,Deletion,Del(T),A[Del(T):R9]A,,TRUE
A[Del(T):R9]C,Deletion,Del(T),A[Del(T):R9]C,,TRUE
A[Del(T):R9]G,Deletion,Del(T),A[Del(T):R9]G,,TRUE
C[Del(T):R1]A,Deletion,Del(T),C[Del(T):R1]A,,TRUE
C[Del(T):R1]C,Deletion,Del(T),C[Del(T):R1]C,,TRUE
C[Del(T):R1]G,Deletion,Del(T),C[Del(T):R1]G,,TRUE
C[Del(T):R2]A,Deletion,Del(T),C[Del(T):R2]A,,TRUE
C[Del(T):R2]C,Deletion,Del(T),C[Del(T):R2]C,,TRUE
C[Del(T):R2]G,Deletion,Del(T),C[Del(T):R2]G,,TRUE
C[Del(T):R3]A,Deletion,Del(T),C[Del(T):R3]A,,TRUE
C[Del(T):R3]C,Deletion,Del(T),C[Del(T):R3]C,,TRUE
C[Del(T):R3]G,Deletion,Del(T),C[Del(T):R3]G,,TRUE
C[Del(T):R4]A,Deletion,Del(T),C[Del(T):R4]A,,TRUE
C[Del(T):R4]C,Deletion,Del(T),C[Del(T):R4]C,,TRUE
C[Del(T):R4]G,Deletion,Del(T),C[Del(T):R4]G,,TRUE
C[Del(T):R5]A,Deletion,Del(T),C[Del(T):R5]A,,TRUE
C[Del(T):R5]C,Deletion,Del(T),C[Del(T):R5]C,,TRUE
C[Del(T):R5]G,Deletion,Del(T),C[Del(T):R5]G,,TRUE
C[Del(T):R6]A,Deletion,Del(T),C[Del(T):R6]A,,TRUE
C[Del(T):R6]C,Deletion,Del(T),C[Del(T):R6]C,,TRUE
C[Del(T):R6]G,Deletion,Del(T),C[Del(T):R6]G,,TRUE
C[Del(T):R7]A,Deletion,Del(T),C[Del(T):R7]A,,TRUE
C[Del(T):R7]C,Deletion,Del(T),C[Del(T):R7]C,,TRUE
C[Del(T):R7]G,Deletion,Del(T),C[Del(T):R7]G,,TRUE
C[Del(T):R8]A,Deletion,Del(T),C[Del(T):R8]A,,TRUE
C[Del(T):R8]C,Deletion,Del(T),C[Del(T):R8]C,,TRUE
C[Del(T):R8]G,Deletion,Del(T),C[Del(T):R8]G,,TRUE
C[Del(T):R9]A,Deletion,Del(T),C[Del(T):R9]A,,TRUE
C[Del(T):R9]C,Deletion,Del(T),C[Del(T):R9]C,,TRUE
C[Del(T):R9]G,Deletion,Del(T),C[Del(T):R9]G,,TRUE
G[Del(T):R1]A,Deletion,Del(T),G[Del(T):R1]A,,TRUE
G[Del(T):R1]C,Deletion,Del(T),G[Del(T):R1]C,,TRUE
G[Del(T):R1]G,Deletion,Del(T),G[Del(T):R1]G,,TRUE
G[Del(T):R2]A,Deletion,Del(T),G[Del(T):R2]A,,TRUE
G[Del(T):R2]C,Deletion,Del(T),G[Del(T):R2]C,,TRUE
G[Del(T):R2]G,Deletion,Del(T),G[Del(T):R2]G,,TRUE
G[Del(T):R3]A,Deletion,Del(T),G[Del(T):R3]A,,TRUE
G[Del(T):R3]C,Deletion,Del(T),G[Del(T):R3]C,,TRUE
G[Del(T):R3]G,Deletion,Del(T),G[Del(T):R3]G,,TRUE
G[Del(T):R4]A,Deletion,Del(T),G[Del(T):R4]A,,TRUE
G[Del(T):R4]C,Deletion,Del(T),G[Del(T):R4]C,,TRUE
G[Del(T):R4]G,Deletion,Del(T),G[Del(T):R4]G,,TRUE
G[Del(T):R5]A,Deletion,Del(T),G[Del(T):R5]A,,TRUE
G[Del(T):R5]C,Deletion,Del(T),G[Del(T):R5]C,,TRUE
G[Del(T):R5]G,Deletion,Del(T),G[Del(T):R5]G,,TRUE
G[Del(T):R6]A,Deletion,Del(T),G[Del(T):R6]A,,TRUE
G[Del(T):R6]C,Deletion,Del(T),G[Del(T):R6]C,,TRUE
G[Del(T):R6]G,Deletion,Del(T),G[Del(T):R6]G,,TRUE
G[Del(T):R7]A,Deletion,Del(T),G[Del(T):R7]A,,TRUE
G[Del(T):R7]C,Deletion,Del(T),G[Del(T):R7]C,,TRUE
G[Del(T):R7]G,Deletion,Del(T),G[Del(T):R7]G,,TRUE
G[Del(T):R8]A,Deletion,Del(T),G[Del(T):R8]A,,TRUE
G[Del(T):R8]C,Deletion,Del(T),G[Del(T):R8]C,,TRUE
G[Del(T):R8]G,Deletion,Del(T),G[Del(T):R8]G,,TRUE
G[Del(T):R9]A,Deletion,Del(T),G[Del(T):R9]A,,TRUE
G[Del(T):R9]C,Deletion,Del(T),G[Del(T):R9]C,,TRUE
G[Del(T):R9]G,Deletion,Del(T),G[Del(T):R9]G,,TRUE
Del2:U1:R1,Deletion,"Del(2,):R(1,9)",Del2:U1:R1,,TRUE
Del3:U1:R1,Deletion,"Del(2,):R(1,9)",Del3:U1:R1,,TRUE
Del4:U1:R1,Deletion,"Del(2,):R(1,9)",Del4:U1:R1,,TRUE
Del5:U1:R1,Deletion,"Del(2,):R(1,9)",Del5:U1:R1,,TRUE
Del6:U1:R1,Deletion,"Del(2,):R(1,9)",Del6:U1:R1,,TRUE
Del7:U1:R1,Deletion,"Del(2,):R(1,9)",Del7:U1:R1,,TRUE
Del8:U1:R1,Deletion,"Del(2,):R(1,9)",Del8:U1:R1,,TRUE
Del9:U1:R1,Deletion,"Del(2,):R(1,9)",Del9:U1:R1,,TRUE
"Del(10,):U1:R1",Deletion,"Del(2,):R(1,9)","Del(10,):U1:R1",,TRUE
"Del2:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del2:U(2,):R1",,TRUE
"Del3:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del3:U(2,):R1",,TRUE
"Del4:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del4:U(2,):R1",,TRUE
"Del5:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del5:U(2,):R1",,TRUE
"Del6:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del6:U(2,):R1",,TRUE
"Del7:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del7:U(2,):R1",,TRUE
"Del8:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del8:U(2,):R1",,TRUE
"Del9:U(2,):R1",Deletion,"Del(2,):R(1,9)","Del9:U(2,):R1",,TRUE
"Del(10,):U(2,):R1",Deletion,"Del(2,):R(1,9)","Del(10,):U(2,):R1",,TRUE
Del2:U1:R3,Deletion,"Del(2,):R(1,9)",Del2:U1:R3,,TRUE
Del2:U1:R4,Deletion,"Del(2,):R(1,9)",Del2:U1:R4,,TRUE
"Del2:U1:R(5,9)",Deletion,"Del(2,):R(1,9)","Del2:U1:R(5,9)",,TRUE
Del2:U2:R2,Deletion,"Del(2,):R(1,9)",Del2:U2:R2,,TRUE
Del2:U2:R3,Deletion,"Del(2,):R(1,9)",Del2:U2:R3,,TRUE
Del2:U2:R4,Deletion,"Del(2,):R(1,9)",Del2:U2:R4,,TRUE
"Del2:U2:R(5,9)",Deletion,"Del(2,):R(1,9)","Del2:U2:R(5,9)",,TRUE
Del3:U1:R4,Deletion,"Del(2,):R(1,9)",Del3:U1:R4,,TRUE
"Del3:U1:R(5,9)",Deletion,"Del(2,):R(1,9)","Del3:U1:R(5,9)",,TRUE
Del3:U3:R2,Deletion,"Del(2,):R(1,9)",Del3:U3:R2,,TRUE
Del3:U3:R3,Deletion,"Del(2,):R(1,9)",Del3:U3:R3,,TRUE
Del3:U3:R4,Deletion,"Del(2,):R(1,9)",Del3:U3:R4,,TRUE
"Del3:U3:R(5,9)",Deletion,"Del(2,):R(1,9)","Del3:U3:R(5,9)",,TRUE
"Del4:U1:R(5,9)",Deletion,"Del(2,):R(1,9)","Del4:U1:R(5,9)",,TRUE
Del4:U2:R3,Deletion,"Del(2,):R(1,9)",Del4:U2:R3,,TRUE
Del4:U2:R4,Deletion,"Del(2,):R(1,9)",Del4:U2:R4,,TRUE
"Del4:U2:R(5,9)",Deletion,"Del(2,):R(1,9)","Del4:U2:R(5,9)",,TRUE
Del4:U4:R2,Deletion,"Del(2,):R(1,9)",Del4:U4:R2,,TRUE
Del4:U4:R3,Deletion,"Del(2,):R(1,9)",Del4:U4:R3,,TRUE
Del4:U4:R4,Deletion,"Del(2,):R(1,9)",Del4:U4:R4,,TRUE
"Del4:U4:R(5,9)",Deletion,"Del(2,):R(1,9)","Del4:U4:R(5,9)",,TRUE
"Del5:U1:R(6,9)",Deletion,"Del(2,):R(1,9)","Del5:U1:R(6,9)",,TRUE
Del5:U5:R2,Deletion,"Del(2,):R(1,9)",Del5:U5:R2,,TRUE
Del5:U5:R3,Deletion,"Del(2,):R(1,9)",Del5:U5:R3,,TRUE
Del5:U5:R4,Deletion,"Del(2,):R(1,9)",Del5:U5:R4,,TRUE
"Del5:U5:R(5,9)",Deletion,"Del(2,):R(1,9)","Del5:U5:R(5,9)",,TRUE
"Del(6,):U1:R(7,9)",Deletion,"Del(2,):R(1,9)","Del(6,):U1:R(7,9)",,TRUE
"Del(6,):U2:R(4,9)",Deletion,"Del(2,):R(1,9)","Del(6,):U2:R(4,9)",,TRUE
"Del(6,):U3:R(3,9)",Deletion,"Del(2,):R(1,9)","Del(6,):U3:R(3,9)",,TRUE
"Del(6,):U(4,):R(2,9)",Deletion,"Del(2,):R(1,9)","Del(6,):U(4,):R(2,9)",,TRUE
Del2:M1,Deletion,"Del(2,):M(1,)",Del2:M1,,TRUE
Del3:M1,Deletion,"Del(2,):M(1,)",Del3:M1,,TRUE
Del3:M2,Deletion,"Del(2,):M(1,)",Del3:M2,,TRUE
Del4:M1,Deletion,"Del(2,):M(1,)",Del4:M1,,TRUE
Del4:M2,Deletion,"Del(2,):M(1,)",Del4:M2,,TRUE
Del4:M3,Deletion,"Del(2,):M(1,)",Del4:M3,,TRUE
Del5:M1,Deletion,"Del(2,):M(1,)",Del5:M1,,TRUE
Del5:M2,Deletion,"Del(2,):M(1,)",Del5:M2,,TRUE
Del5:M3,Deletion,"Del(2,):M(1,)",Del5:M3,,TRUE
Del5:M4,Deletion,"Del(2,):M(1,)",Del5:M4,,TRUE
Del6:M1,Deletion,"Del(2,):M(1,)",Del6:M1,,TRUE
Del6:M2,Deletion,"Del(2,):M(1,)",Del6:M2,,TRUE
Del6:M3,Deletion,"Del(2,):M(1,)",Del6:M3,,TRUE
Del6:M4,Deletion,"Del(2,):M(1,)",Del6:M4,,TRUE
Del6:M5,Deletion,"Del(2,):M(1,)",Del6:M5,,TRUE
"Del(7,):M1",Deletion,"Del(2,):M(1,)","Del(7,):M1",,TRUE
"Del(7,):M2",Deletion,"Del(2,):M(1,)","Del(7,):M2",,TRUE
"Del(7,):M3",Deletion,"Del(2,):M(1,)","Del(7,):M3",,TRUE
"Del(7,):M4",Deletion,"Del(2,):M(1,)","Del(7,):M4",,TRUE
"Del(7,):M5",Deletion,"Del(2,):M(1,)","Del(7,):M5",,TRUE
"Del(7,):M(6,)",Deletion,"Del(2,):M(1,)","Del(7,):M(6,)",,TRUE
"Complex(0,1)",Complex,Complex,"Complex(0,1)",,TRUE
"Complex(2,5)",Complex,Complex,"Complex(2,5)",,TRUE
"Complex(6,10)",Complex,Complex,"Complex(6,10)",,TRUE
"Complex(11,20)",Complex,Complex,"Complex(11,20)",,TRUE
"Complex(21,)",Complex,Complex,"Complex(21,)",,TRUE
