#ccds	RefSeq	UniProtKB
CCDS2.2	NP_689699.2	Q96NU1-3
CCDS8911.1	NP_076973.1	Q9BQ15-1
CCDS8912.2	NP_001128667.1	Q6ZMH5
CCDS8912.2	NP_775867.2	Q6ZMH5
CCDS8913.1	NP_004068.2	O75390
CCDS8914.1	NP_055070.1	Q9Y2B0-1
CCDS8915.1	NP_055686.3	Q504Q3-2
CCDS8916.1	NP_057668.1	Q9NPF7
CCDS8917.1	NP_005410.1	P52630-3
CCDS8918.1	NP_003911.2	Q9UNS1-1
CCDS8919.1	NP_036196.1	P30301
CCDS8920.1	NP_997227.1	Q8WW59
CCDS8921.1	NP_037399.2	Q9UI32-1
CCDS8923.1	NP_002889.1	Q15434
CCDS8924.1	NP_001677.2	P06576
CCDS8925.1	NP_003716.2	O14756
CCDS8926.1	NP_683695.1	Q8NEX9
CCDS8927.1	NP_009195.1	O15218
CCDS8928.1	NP_037383.1	Q9UHF0-1
CCDS8929.1	NP_001242970.1	Q9UBC5
CCDS8929.1	NP_005370.1	Q9UBC5
CCDS8930.1	NP_005958.1	Q15742-1
CCDS8931.1	NP_001171549.1	P42226-1
CCDS8931.1	NP_001171550.1	P42226-1
CCDS8931.1	NP_003144.3	P42226-1
CCDS8932.1	NP_002323.2	Q07954-1
CCDS8933.1	NP_009155.1	O95158
CCDS8934.1	NP_005403.2	P34897-1
CCDS8935.1	NP_064527.1	Q9NRX3
CCDS8936.1	NP_659501.1	Q96MF2-1
CCDS8937.2	NP_055740.3	Q9Y2K5-1
CCDS8938.1	NP_005529.1	P55103
CCDS8939.1	NP_113667.1	P58166
CCDS8940.1	NP_005260.1	P08151-1
CCDS8941.2	NP_115885.2	Q9BRR9-2
CCDS8942.1	NP_004981.2	P56192-1
CCDS8943.1	NP_001181986.1	P35638-1
CCDS8943.1	NP_004074.2	P35638-1
CCDS8944.1	NP_443129.3	Q96DN6
CCDS8945.1	NP_004975.2	Q12840
CCDS8946.1	NP_001139730.1	Q8TBX8-1
CCDS8946.1	NP_079055.3	Q8TBX8-1
CCDS8947.1	NP_891992.2	Q86VW2-1
CCDS8949.2	NP_597996.2	Q8NG04-1
CCDS8950.1	NP_001469.1	Q00973-1
CCDS8951.1	NP_055585.1	Q99490-2
CCDS8952.1	NP_005972.1	Q12999
CCDS8953.1	NP_000066.1	P11802-1
CCDS8954.1	NP_000776.1	O15528
CCDS8955.3	NP_005362.3	Q9UBP6-1
CCDS8956.1	NP_075422.3	Q9UBP6-2
CCDS8957.1	NP_056248.2	Q96AZ1-1
CCDS8958.2	NP_005717.3	P43897-1
CCDS8959.1	NP_006567.3	O75366-1
CCDS8960.1	NP_700356.2	Q6UXM1-1
CCDS8961.1	NP_001257551.1	O60669
CCDS8961.1	NP_001257552.1	O60669
CCDS8961.1	NP_004722.2	O60669
CCDS8962.1	NP_848634.1	Q8N3H0-1
CCDS8963.1	NP_006304.1	Q9Y4E8-2
CCDS8965.1	NP_000697.1	P37288
CCDS8966.1	NP_055069.1	Q9Y2B1
CCDS8967.1	NP_065813.1	Q7Z6B7-1
CCDS8968.1	NP_037386.1	Q9UHD2
CCDS8969.1	NP_835463.1	Q86WH2-1
CCDS8970.1	NP_002067.1	P15586-1
CCDS8971.1	NP_009122.2	Q9Y5W5
CCDS8972.1	NP_055134.2	Q9Y2U8
CCDS8973.1	NP_932346.1	Q8IXL7-1
CCDS8974.1	NP_115714.1	Q9BRT6
CCDS8975.1	NP_009130.2	Q9Y616-1
CCDS8976.1	NP_387467.2	Q8NG08-1
CCDS8977.1	NP_060918.2	Q86VP6-1
CCDS8978.1	NP_006473.2	Q92630-1
CCDS8979.1	NP_003574.1	Q92630-2
CCDS8980.1	NP_000610.2	P01579
CCDS8981.1	NP_060872.1	Q9NPH9
CCDS8982.1	NP_065386.1	Q9GZX6
CCDS8983.1	NP_059136.2	Q8TC05-1
CCDS8984.1	NP_001010942.1	P61224-1
CCDS8984.1	NP_056461.1	P61224-1
CCDS8985.1	NP_065134.1	P57740-1
CCDS8986.2	NP_002383.2	Q00987-11
CCDS8987.1	NP_001005502.1	P14384
CCDS8987.1	NP_001865.1	P14384
CCDS8987.1	NP_938079.1	P14384
CCDS8988.1	NP_008938.2	Q16630-1
CCDS8989.1	NP_000230.1	P61626
CCDS8990.1	NP_006521.1	O95619
CCDS8991.1	NP_006422.1	P78371-1
CCDS8992.2	NP_116124.2	Q8N1M1-2
CCDS8993.1	NP_783322.1	Q96QF0-1
CCDS8995.1	NP_071901.2	Q96QF0-2
CCDS8996.1	NP_783323.1	Q96QF0-3
CCDS8997.1	NP_055320.4	Q86W47
CCDS8998.1	NP_002840.2	Q15256-1
CCDS8999.1	NP_004607.1	P19075
CCDS9000.1	NP_003658.1	O75473-1
CCDS9001.1	NP_113623.1	Q9H0W7
CCDS9002.1	NP_060749.2	Q96HH6-1
CCDS9003.1	NP_055814.1	Q9UL25
CCDS9004.1	NP_037513.1	Q9UKU6
CCDS9005.1	NP_631874.1	Q96PR1-3
CCDS9006.1	NP_715624.1	Q96PR1-4
CCDS9007.1	NP_631875.1	Q96PR1-1
CCDS9008.2	NP_115995.2	Q9BXY5-1
CCDS9009.1	NP_689992.1	Q6UWM5-2
CCDS9010.1	NP_689649.1	Q4G1C9-2
CCDS9011.1	NP_006842.2	P48060-1
CCDS9012.1	NP_008974.5	Q13601-1
CCDS9013.1	NP_001317160.1	P55209-1
CCDS9013.1	NP_004528.1	P55209-1
CCDS9013.1	NP_631946.1	P55209-1
CCDS9014.2	NP_078961.3	Q8TAM1
CCDS9015.1	NP_001287894.1	Q16527
CCDS9015.1	NP_001312.1	Q16527
CCDS9016.1	NP_976328.2	Q96AV8-1
CCDS9017.1	NP_001129277.1	P21579
CCDS9017.1	NP_001129278.1	P21579
CCDS9017.1	NP_005630.1	P21579
CCDS9019.1	NP_002460.1	P23409
CCDS9020.1	NP_005584.2	P13349
CCDS9021.1	NP_004655.1	O14910
CCDS9022.1	NP_078836.1	Q9H6R3-1
CCDS9023.1	NP_054886.2	Q9P031
CCDS9024.1	NP_115606.2	Q8N6Q8
CCDS9025.1	NP_689801.1	Q8N394
CCDS9026.1	NP_877499.1	Q9H2J7-1
CCDS9027.1	NP_060527.2	Q9H2J7-2
CCDS9028.1	NP_008913.2	Q15699
CCDS9029.1	NP_006174.1	P30990
CCDS9030.1	NP_001338214.1	Q9UBM8-1
CCDS9030.1	NP_001338215.1	Q9UBM8-1
CCDS9030.1	NP_001338216.1	Q9UBM8-1
CCDS9030.1	NP_001338217.1	Q9UBM8-1
CCDS9030.1	NP_001338218.1	Q9UBM8-1
CCDS9030.1	NP_001338220.1	Q9UBM8-1
CCDS9030.1	NP_037376.2	Q9UBM8-1
CCDS9031.1	NP_689802.1	Q8NA57
CCDS9032.1	NP_861448.2	Q6ZXV5-2
CCDS9033.1	NP_001937.2	Q16828-1
CCDS9034.1	NP_073143.2	Q16828-2
CCDS9035.1	NP_001673.2	P20020-3
CCDS9036.1	NP_689851.1	Q8TC90
CCDS9037.1	NP_008966.1	O60938
CCDS9038.1	NP_002336.1	P51884
CCDS9039.1	NP_001911.1	P07585-1
CCDS9039.1	NP_598010.1	P07585-1
CCDS9040.1	NP_598011.1	P07585-2
CCDS9041.1	NP_598012.1	P07585-3
CCDS9042.1	NP_598013.1	P07585-4
CCDS9043.1	NP_001722.1	P62324
CCDS9044.1	NP_950241.1	Q9NZJ9-2
CCDS9045.1	NP_054769.1	Q9Y6G3
CCDS9045.1	NP_751917.1	Q9Y6G3
CCDS9047.1	NP_001257396.1	O14508
CCDS9047.1	NP_001257397.1	O14508
CCDS9047.1	NP_001257398.1	O14508
CCDS9047.1	NP_001257399.1	O14508
CCDS9047.1	NP_001257400.1	O14508
CCDS9047.1	NP_003868.1	O14508
CCDS9048.1	NP_001307028.1	P78560-1
CCDS9048.1	NP_003796.1	P78560-1
CCDS9049.1	NP_005752.1	O60486
CCDS9050.1	NP_061326.1	Q9UI09-1
CCDS9051.1	NP_003288.2	P13056-1
CCDS9052.1	NP_006829.1	P50579-1
CCDS9053.1	NP_001035862.1	Q9H0E7
CCDS9053.1	NP_001265322.1	Q9H0E7
CCDS9053.1	NP_001334865.1	Q9H0E7
CCDS9053.1	NP_001334866.1	Q9H0E7
CCDS9053.1	NP_115523.2	Q9H0E7
CCDS9054.1	NP_067052.2	Q9HB63-1
CCDS9055.1	NP_003086.1	P62306
CCDS9056.1	NP_872302.2	Q502W7
CCDS9057.1	NP_689648.2	Q96NU7
CCDS9058.1	NP_002099.1	P42357-1
CCDS9059.1	NP_000886.1	P09960-1
CCDS9060.1	NP_005221.2	P41970
CCDS9061.1	NP_002586.2	Q00537-1
CCDS9063.1	NP_001128648.1	Q8NHV4-1
CCDS9063.1	NP_690869.1	Q8NHV4-1
CCDS9064.1	NP_003267.1	P42166-1
CCDS9065.1	NP_002626.1	Q00325-2
CCDS9065.1	NP_998776.1	Q00325-2
CCDS9066.1	NP_005879.1	Q00325-1
CCDS9067.1	NP_963906.1	Q70UQ0-1
CCDS9068.1	NP_710154.1	Q70UQ0-4
CCDS9069.1	NP_863651.1	O14727-1
CCDS9070.1	NP_863658.1	O14727-4
CCDS9071.1	NP_863659.1	O14727-6
CCDS9072.1	NP_699195.1	Q8NEG0
CCDS9074.1	NP_071941.1	Q9GZN1-1
CCDS9075.1	NP_689530.1	Q8N2C3-1
CCDS9076.1	NP_001304713.1	Q6P3W7
CCDS9076.1	NP_060458.3	Q6P3W7
CCDS9077.1	NP_647480.1	Q8NDX2-1
CCDS9078.1	NP_005114.1	Q96RI1-2
CCDS9079.1	NP_001290059.1	Q86XJ1
CCDS9079.1	NP_777602.1	Q86XJ1
CCDS9080.1	NP_666018.3	Q8N695
CCDS9081.1	NP_055318.2	O75691
CCDS9082.1	NP_689536.1	Q8N5J4
CCDS9083.1	NP_002456.2	Q00872-4
CCDS9084.1	NP_996555.1	Q00872-2
CCDS9085.1	NP_996556.1	Q00872-1
CCDS9086.1	NP_064629.2	Q8WUD6-1
CCDS9087.1	NP_001171419.1	Q8IZU3
CCDS9087.1	NP_001171420.1	Q8IZU3
CCDS9087.1	NP_710161.1	Q8IZU3
CCDS9088.1	NP_077288.2	Q3T906-1
CCDS9089.1	NP_076962.2	Q8NFH4
CCDS9090.2	NP_060385.3	Q9NWS1-1
CCDS9091.1	NP_000609.1	P05019-2
CCDS9092.1	NP_000268.1	P00439
CCDS9092.1	NP_001341233.1	P00439
CCDS9094.1	NP_003290.1	P14625
CCDS9095.1	NP_003202.3	Q13569
CCDS9096.1	NP_001303896.1	Q9H1C3
CCDS9096.1	NP_112592.1	Q9H1C3
CCDS9097.1	NP_037452.1	Q9Y5Z7-1
CCDS9098.1	NP_006157.1	P25208
CCDS9099.1	NP_060883.1	Q9NPF2-1
CCDS9100.2	NP_001339098.1	Q96JW4
CCDS9100.2	NP_001339099.1	Q96JW4
CCDS9100.2	NP_001339100.1	Q96JW4
CCDS9100.2	NP_001339101.1	Q96JW4
CCDS9100.2	NP_115524.3	Q96JW4
CCDS9101.1	NP_060641.2	Q8NEU8-1
CCDS9103.1	NP_006816.2	Q07065
CCDS9104.1	NP_689985.1	Q8N4U5-1
CCDS9105.1	NP_060552.4	Q9NW08-1
CCDS9106.1	NP_998759.1	Q33E94-1
CCDS9108.1	NP_115880.2	Q33E94-3
CCDS9109.2	NP_060627.2	Q9NVN3-5
CCDS9110.1	NP_001306590.1	Q8WUH6
CCDS9110.1	NP_001306591.1	Q8WUH6
CCDS9110.1	NP_001306592.1	Q8WUH6
CCDS9110.1	NP_001306593.1	Q8WUH6
CCDS9110.1	NP_689474.1	Q8WUH6
CCDS9111.1	NP_001028222.1	Q49AM1
CCDS9111.1	NP_079474.2	Q49AM1
CCDS9112.1	NP_004066.1	Q16526
CCDS9114.1	NP_008993.1	Q13610-1
CCDS9115.1	NP_036538.3	Q9UKN5
CCDS9116.1	NP_009007.2	Q9BVA6
CCDS9117.1	NP_055521.1	Q15020-1
CCDS9118.1	NP_055116.1	Q9H1K1-2
CCDS9119.1	NP_859075.2	Q4V9L6
CCDS9120.1	NP_001263400.1	Q9ULV4-1
CCDS9120.1	NP_055140.1	Q9ULV4-1
CCDS9121.1	NP_061857.3	Q8WYL5-1
CCDS9122.1	NP_001908.3	P14920
CCDS9123.2	NP_116052.2	Q70CQ3
CCDS9124.1	NP_550433.1	P13051-1
CCDS9125.1	NP_003353.1	P13051-2
CCDS9126.2	NP_998761.2	Q96NZ1-1
CCDS9128.1	NP_114160.1	Q9H3F6-1
CCDS9129.1	NP_569733.2	Q7Z3V4-1
CCDS9129.1	NP_904324.1	Q7Z3V4-1
CCDS9131.1	NP_443077.1	Q96EY8
CCDS9132.1	NP_000422.1	Q03426
CCDS9132.1	NP_001107657.1	Q03426
CCDS9133.1	NP_116218.2	Q5U5X8
CCDS9134.1	NP_067638.3	Q9HBA0-1
CCDS9135.1	NP_671737.1	Q9HBA0-2
CCDS9136.1	NP_057517.1	Q9NZD2
CCDS9137.1	NP_001137324.1	Q9BT92
CCDS9137.1	NP_115676.1	Q9BT92
CCDS9138.1	NP_476510.1	Q14161-1
CCDS9139.1	NP_631940.2	Q14161-2
CCDS9140.1	NP_149112.1	Q8IZ07
CCDS9141.1	NP_997318.1	Q8N812
CCDS9142.1	NP_001334875.1	Q8WYA0-3
CCDS9142.1	NP_113661.2	Q8WYA0-3
CCDS9143.1	NP_001672.1	P16615-2
CCDS9144.1	NP_733765.1	P16615-1
CCDS9145.2	NP_057322.2	Q9UJX3-1
CCDS9146.1	NP_001265485.1	O15145
CCDS9147.1	NP_057385.3	Q9UHW5-1
CCDS9149.1	NP_644812.1	Q8NI37
CCDS9150.1	NP_002701.1	P36873-1
CCDS9151.1	NP_689804.1	Q8NA47-1
CCDS9152.1	NP_001171468.1	Q8N4B1-1
CCDS9152.1	NP_653272.2	Q8N4B1-1
CCDS9153.1	NP_005466.1	Q9UQQ2
CCDS9154.1	NP_006759.3	Q7Z569-1
CCDS9155.1	NP_000681.2	P05091-1
CCDS9157.1	NP_001281243.1	Q8NCL8-1
CCDS9157.1	NP_612350.1	Q8NCL8-1
CCDS9158.1	NP_006808.1	P30040-1
CCDS9159.1	NP_079229.2	Q14CX7-1
CCDS9160.1	NP_001137378.1	O14545-1
CCDS9160.1	NP_006691.1	O14545-1
CCDS9162.1	NP_000961.2	Q02878
CCDS9162.1	NP_001019833.1	Q02878
CCDS9162.1	NP_001307066.1	Q02878
CCDS9162.1	NP_001307067.1	Q02878
CCDS9162.1	NP_001307068.1	Q02878
CCDS9162.1	NP_001307069.1	Q02878
CCDS9162.1	NP_001307070.1	Q02878
CCDS9163.1	NP_002825.3	Q06124-2
CCDS9164.1	NP_004407.2	Q86Y01
CCDS9165.1	NP_004649.2	O95294-1
CCDS9166.1	NP_116237.1	Q96K30-1
CCDS9167.1	NP_612460.1	Q96DY2-2
CCDS9168.1	NP_775813.2	Q8NHP8-1
CCDS9169.1	NP_006834.2	P20132
CCDS9170.1	NP_001291922.1	Q96GA7
CCDS9170.1	NP_612441.1	Q96GA7
CCDS9171.1	NP_071758.1	Q9H2C1
CCDS9172.1	NP_001140170.1	Q9Y4C8
CCDS9172.1	NP_001140171.1	Q9Y4C8
CCDS9172.1	NP_057280.2	Q9Y4C8
CCDS9173.1	NP_000183.2	Q99593-1
CCDS9173.1	NP_852259.1	Q99593-1
CCDS9174.1	NP_542448.1	Q99593-3
CCDS9175.1	NP_005987.3	O15119-2
CCDS9176.1	NP_057653.3	O15119-1
CCDS9177.1	NP_056150.1	Q71F56
CCDS9179.1	NP_079014.1	Q9H741
CCDS9180.2	NP_116203.2	Q96EX2-5
CCDS9181.1	NP_003797.1	O00198
CCDS9182.1	NP_699179.2	Q8N3Y1-1
CCDS9183.3	NP_060369.3	Q96BS2-1
CCDS9184.1	NP_296373.1	O94952-2
CCDS9185.1	NP_031396.1	P40937-1
CCDS9186.1	NP_061109.1	Q9NYS7-1
CCDS9187.1	NP_002558.1	P30086
CCDS9188.1	NP_001333417.1	Q9H2K8
CCDS9188.1	NP_001333418.1	Q9H2K8
CCDS9188.1	NP_057365.3	Q9H2K8
CCDS9189.1	NP_055180.1	Q9UJY1
CCDS9190.1	NP_848594.2	Q8IWA6
CCDS9191.1	NP_006244.2	Q9Y478
CCDS9192.1	NP_009105.1	O14578-1
CCDS9193.1	NP_000993.1	P05388-1
CCDS9193.1	NP_444505.1	P05388-1
CCDS9194.1	NP_036372.1	Q9Y6E7
CCDS9195.1	NP_000919.1	P04054
CCDS9196.1	NP_002433.1	O43347
CCDS9197.1	NP_004364.2	P12074
CCDS9198.1	NP_057483.1	O43715
CCDS9199.1	NP_003760.1	Q13242
CCDS9200.1	NP_001032583.1	P63167
CCDS9200.1	NP_001032584.1	P63167
CCDS9200.1	NP_003737.1	P63167
CCDS9201.1	NP_055683.3	Q8N5U6-1
CCDS9202.1	NP_057002.2	Q969H6-1
CCDS9203.1	NP_937845.1	Q969H6-2
CCDS9204.1	NP_004267.2	Q9NZU7-2
CCDS9205.1	NP_112482.1	Q9NZU7-1
CCDS9206.1	NP_055545.1	Q14165
CCDS9207.1	NP_000008.1	P16219
CCDS9208.1	NP_620584.2	Q8TCT6-2
CCDS9209.1	NP_000536.5	P20823-1
CCDS9210.1	NP_075046.1	Q96C57
CCDS9211.1	NP_003724.1	Q15646-1
CCDS9212.1	NP_937856.1	Q15646-2
CCDS9213.1	NP_002553.3	Q99572-1
CCDS9214.1	NP_002551.2	Q99571-1
CCDS9216.1	NP_001257414.1	Q96RR4-1
CCDS9216.1	NP_006540.3	Q96RR4-1
CCDS9217.1	NP_757365.1	Q96RR4-4
CCDS9218.1	NP_705719.2	Q96RR4-3
CCDS9218.1	NP_757380.1	Q96RR4-3
CCDS9219.1	NP_705720.1	Q96RR4-5
CCDS9220.1	NP_057321.2	Q9UJX4-1
CCDS9221.1	NP_919247.1	Q969K3-2
CCDS9222.1	NP_061907.2	Q9HBH0-1
CCDS9224.1	NP_002141.1	P32754-1
CCDS9225.1	NP_002804.2	O00233-1
CCDS9226.1	NP_066273.1	Q4VC05-2
CCDS9227.1	NP_110392.1	Q9C0J1-1
CCDS9228.1	NP_063940.1	Q9NR28-1
CCDS9229.1	NP_001265271.1	Q9NR28-3
CCDS9231.1	NP_075067.2	Q96AX1
CCDS9232.1	NP_002947.1	P30622-1
CCDS9233.1	NP_937883.1	P30622-2
CCDS9235.1	NP_808219.1	Q8TDS4
CCDS9236.1	NP_115943.1	Q9BXC0
CCDS9238.1	NP_958843.2	Q6P9F0-1
CCDS9239.1	NP_078943.1	Q9H9H4
CCDS9241.1	NP_062571.1	Q9NP78-1
CCDS9242.1	NP_065896.1	Q9BZ72-1
CCDS9243.2	NP_073619.3	Q99550-1
CCDS9244.1	NP_001137377.1	Q9H3J6-1
CCDS9244.1	NP_001181924.1	Q9H3J6-1
CCDS9244.1	NP_689482.1	Q9H3J6-1
CCDS9245.1	NP_004633.1	O14519-1
CCDS9246.1	NP_060653.3	A3KN83-2
CCDS9247.1	NP_065115.3	Q9NQR1-2
CCDS9248.1	NP_659495.1	Q969X0
CCDS9249.1	NP_073208.1	Q16560-1
CCDS9250.1	NP_006806.1	Q15363
CCDS9251.1	NP_065987.1	Q8NHQ9-1
CCDS9252.1	NP_001507.2	Q13889-1
CCDS9253.1	NP_079085.2	Q96GX1-1
CCDS9254.1	NP_036595.2	Q9Y487
CCDS9255.2	NP_997320.2	Q8IVF4-1
CCDS9256.1	NP_001291886.1	Q53HC0-1
CCDS9256.1	NP_001291887.1	Q53HC0-1
CCDS9256.1	NP_001291888.1	Q53HC0-1
CCDS9256.1	NP_001291889.1	Q53HC0-1
CCDS9256.1	NP_079416.1	Q53HC0-1
CCDS9257.1	NP_001191227.1	Q8N3J9
CCDS9257.1	NP_689650.1	Q8N3J9
CCDS9258.1	NP_001191228.1	Q6ZTI6-2
CCDS9258.1	NP_001334831.1	Q6ZTI6-2
CCDS9258.1	NP_859060.3	Q6ZTI6-2
CCDS9259.1	NP_005496.4	Q8WTV0-2
CCDS9260.1	NP_066289.3	P0CG48
CCDS9261.1	NP_116045.2	Q8IY37
CCDS9262.1	NP_542193.3	Q8WY22
CCDS9263.1	NP_076417.2	Q86V21-1
CCDS9264.1	NP_663623.1	Q8N697-1
CCDS9265.1	NP_653270.1	Q96MS3-2
CCDS9266.1	NP_597705.2	Q14C87-1
CCDS9267.1	NP_009128.1	Q9ULW2
CCDS9268.1	NP_004755.2	Q96J94-1
CCDS9269.1	NP_001971.2	P32856-2
CCDS9270.1	NP_919337.1	P32856-1
CCDS9271.1	NP_006316.1	P62826
CCDS9272.1	NP_942122.2	Q6QNK2-1
CCDS9273.1	NP_004583.2	Q12872-1
CCDS9274.1	NP_003556.1	O75385
CCDS9275.2	NP_079491.2	Q9Y606-1
CCDS9277.1	NP_076983.1	Q9BVI4
CCDS9278.1	NP_006222.2	Q07864
CCDS9279.1	NP_061133.1	Q9NR77
CCDS9280.1	NP_612642.2	Q96HS1-2
CCDS9281.1	NP_005886.2	Q08378-1
CCDS9282.1	NP_003431.2	P52738-1
CCDS9283.1	NP_056209.2	P21506
CCDS9284.1	NP_005992.1	Q13748-1
CCDS9285.1	NP_570141.3	Q6XPS3-3
CCDS9287.1	NP_059990.2	Q99549-1
CCDS9289.1	NP_068773.2	Q9Y6H8
CCDS9290.1	NP_003995.2	P29033
CCDS9291.1	NP_001103689.1	O95452
CCDS9291.1	NP_001103690.1	O95452
CCDS9291.1	NP_001103691.1	O95452
CCDS9291.1	NP_006774.2	O95452
CCDS9292.1	NP_612141.1	Q8TAD2
CCDS9293.1	NP_001305868.1	Q8WVE0
CCDS9293.1	NP_777588.1	Q8WVE0
CCDS9294.1	NP_055387.2	Q9NRM7
CCDS9296.1	NP_076931.1	Q9BQC6
CCDS9297.1	NP_689939.1	Q8IYU8
CCDS9298.1	NP_002001.1	P31371
CCDS9299.1	NP_000222.1	Q13326
CCDS9300.2	NP_055178.3	Q9NZJ4-1
CCDS9301.1	NP_001191387.1	Q9NS68-2
CCDS9301.1	NP_683760.1	Q9NS68-2
CCDS9302.1	NP_061117.2	Q9NS68-1
CCDS9303.1	NP_005923.2	Q99797
CCDS9305.1	NP_694568.1	Q96N96-1
CCDS9306.1	NP_001290066.1	P0C862
CCDS9306.1	NP_001290067.1	P0C862
CCDS9306.1	NP_848635.2	P0C862
CCDS9307.1	NP_006428.2	Q9UKK3
CCDS9308.2	NP_112567.2	Q9BXT8-3
CCDS9310.1	NP_060921.3	Q9HC77-1
CCDS9311.1	NP_112241.2	Q9H361
CCDS9312.1	NP_954589.1	Q8N7J2-2
CCDS9313.1	NP_004676.3	Q9Y217-1
CCDS9314.1	NP_054808.1	Q9BVL2-1
CCDS9316.1	NP_005968.1	Q9Y252-1
CCDS9316.1	NP_898864.1	Q9Y252-1
CCDS9316.1	NP_898865.1	Q9Y252-1
CCDS9317.1	NP_001251.1	P49336-1
CCDS9318.1	NP_006637.2	Q9UPY6-1
CCDS9319.1	NP_005279.1	P47775
CCDS9320.1	NP_000973.2	P46778
CCDS9321.1	NP_996563.1	Q6T310
CCDS9322.1	NP_001159733.1	Q9H2K0
CCDS9322.1	NP_001159734.1	Q9H2K0
CCDS9322.1	NP_001159735.1	Q9H2K0
CCDS9322.1	NP_690876.3	Q9H2K0
CCDS9323.1	NP_699202.1	Q8N448
CCDS9324.1	NP_689918.1	P0DPB5-1
CCDS9325.1	NP_057056.1	P0DPB6
CCDS9326.1	NP_663632.1	Q9H4S2
CCDS9327.1	NP_000200.1	P52945
CCDS9328.1	NP_001256.3	Q99626
CCDS9329.2	NP_787050.6	Q58A45-1
CCDS9330.1	NP_002010.2	P17948-1
CCDS9331.1	NP_057016.1	Q9Y244
CCDS9332.1	NP_001334889.1	Q7Z3Q1-1
CCDS9332.1	NP_861450.1	Q7Z3Q1-1
CCDS9333.1	NP_003036.1	P30825
CCDS9334.1	NP_009037.1	O95164
CCDS9335.1	NP_001300821.1	P09429
CCDS9335.1	NP_001300822.1	P09429
CCDS9335.1	NP_002119.1	P09429
CCDS9336.1	NP_005791.3	Q5W0Q7-1
CCDS9337.1	NP_001620.2	P20292
CCDS9338.1	NP_116238.2	Q5VYS4-1
CCDS9339.1	NP_689538.1	Q8N6G2
CCDS9340.1	NP_006635.2	Q92598-1
CCDS9341.1	NP_919299.3	Q6Y288
CCDS9342.1	NP_570718.1	Q8WXD0-1
CCDS9344.1	NP_000050.2	P51587
CCDS9345.2	NP_001273388.1	Q5TBK1-1
CCDS9345.2	NP_438169.2	Q5TBK1-1
CCDS9346.1	NP_055702.1	Q92802-1
CCDS9347.1	NP_004786.2	Q9UEF7-1
CCDS9348.1	NP_821074.1	Q9Y3M8-1
CCDS9349.1	NP_821075.1	Q9Y3M8-2
CCDS9350.1	NP_443083.1	Q9Y3M8-3
CCDS9352.1	NP_002906.1	P40938-1
CCDS9353.1	NP_005575.1	Q13394
CCDS9354.1	NP_004725.1	O15075-2
CCDS9355.1	NP_060296.2	Q9NX45-1
CCDS9356.1	NP_001135766.1	Q8N0X7
CCDS9356.1	NP_001135767.1	Q8N0X7
CCDS9356.1	NP_001135768.1	Q8N0X7
CCDS9356.1	NP_055902.1	Q8N0X7
CCDS9357.1	NP_003905.1	P78396-1
CCDS9358.1	NP_982276.2	A2A2V5
CCDS9359.1	NP_000529.1	O00287
CCDS9360.1	NP_005896.1	O15198-2
CCDS9361.1	NP_037470.1	Q9Y673-1
CCDS9362.1	NP_001265410.1	Q8NEM7-2
CCDS9362.1	NP_001265411.1	Q8NEM7-2
CCDS9362.1	NP_060039.1	Q8NEM7-2
CCDS9363.1	NP_660204.2	Q8N752
CCDS9364.1	NP_006466.2	Q15063-1
CCDS9365.1	NP_057263.1	Q9UBN4-1
CCDS9366.1	NP_057701.1	P61960-1
CCDS9367.1	NP_660329.1	Q8TAV4-1
CCDS9368.2	NP_079414.3	Q86XN7-1
CCDS9369.1	NP_005771.1	Q9Y693
CCDS9370.1	NP_065802.1	Q9Y2V7-1
CCDS9371.1	NP_002006.2	Q12778
CCDS9372.1	NP_005821.2	Q92665
CCDS9373.1	NP_055067.1	Q9Y619
CCDS9374.1	NP_758961.1	P32519-1
CCDS9375.1	NP_009118.1	O75554-1
CCDS9376.1	NP_690867.3	Q86V97
CCDS9377.1	NP_115514.2	Q8WVZ9
CCDS9378.1	NP_001341002.1	O75570-1
CCDS9378.1	NP_001341003.1	O75570-1
CCDS9378.1	NP_001341005.1	O75570-1
CCDS9378.1	NP_004285.2	O75570-1
CCDS9379.1	NP_078837.3	Q6N069-1
CCDS9381.1	NP_821077.1	Q86XP1-1
CCDS9382.1	NP_001191433.1	Q86XP1-2
CCDS9382.1	NP_690874.2	Q86XP1-2
CCDS9383.1	NP_057332.1	Q9UKA4
CCDS9384.1	NP_003692.1	O14788-1
CCDS9385.1	NP_143026.1	O14788-2
CCDS9386.1	NP_001305861.1	Q8N7L0
CCDS9386.1	NP_872314.1	Q8N7L0
CCDS9387.1	NP_150280.1	Q96J88-2
CCDS9388.1	NP_037370.2	Q9Y5T4
CCDS9389.1	NP_001121087.1	Q8TC92-1
CCDS9389.1	NP_001229792.1	Q8TC92-1
CCDS9389.1	NP_001334893.1	Q8TC92-1
CCDS9389.1	NP_001334894.1	Q8TC92-1
CCDS9389.1	NP_001334895.1	Q8TC92-1
CCDS9389.1	NP_001334896.1	Q8TC92-1
CCDS9389.1	NP_001334897.1	Q8TC92-1
CCDS9389.1	NP_001334898.1	Q8TC92-1
CCDS9389.1	NP_060463.2	Q8TC92-1
CCDS9390.2	NP_659411.2	Q5T0U0-1
CCDS9391.1	NP_001121775.1	Q8IV20
CCDS9391.1	NP_001337567.1	Q8IV20
