Study,Cancer.Types,scale,Sample.Names,Accuracy,SBS1
nonPCAWG-WGS,Panc-AdenoCa,genome,8047856,0.979,738
nonPCAWG-WGS,Panc-AdenoCa,genome,8047881,0.98,1251
nonPCAWG-WGS,Panc-AdenoCa,genome,8047913,0.972,1119
nonPCAWG-WGS,Panc-AdenoCa,genome,8048316,0.961,1321
nonPCAWG-WGS,Panc-AdenoCa,genome,8049749,0.979,917
nonPCAWG-WGS,Panc-AdenoCa,genome,8050103,0.979,680
nonPCAWG-WGS,Panc-AdenoCa,genome,8052859,0.977,933
nonPCAWG-WGS,Panc-AdenoCa,genome,8057473,0.972,768
nonPCAWG-WGS,Panc-AdenoCa,genome,8057501,0.982,890
nonPCAWG-WGS,Panc-AdenoCa,genome,8057528,0.98,1825
nonPCAWG-WGS,Panc-AdenoCa,genome,8057574,0.981,1297
nonPCAWG-WGS,Panc-AdenoCa,genome,8057700,0.971,1602
nonPCAWG-WGS,Panc-AdenoCa,genome,8057726,0.976,1327
nonPCAWG-WGS,Panc-AdenoCa,genome,8062296,0.977,816
nonPCAWG-WGS,Panc-AdenoCa,genome,8062306,0.954,1302
nonPCAWG-WGS,Panc-AdenoCa,genome,8062307,0.982,758
nonPCAWG-WGS,Panc-AdenoCa,genome,8062308,0.973,1025
nonPCAWG-WGS,Panc-AdenoCa,genome,8064580,0.978,843
nonPCAWG-WGS,Panc-AdenoCa,genome,8066440,0.984,1467
nonPCAWG-WGS,Panc-AdenoCa,genome,8066443,0.975,707
nonPCAWG-WGS,Panc-AdenoCa,genome,8066452,0.975,887
nonPCAWG-WGS,Panc-AdenoCa,genome,8066464,0.972,585
nonPCAWG-WGS,Panc-AdenoCa,genome,8066467,0.981,756
nonPCAWG-WGS,Panc-AdenoCa,genome,8066470,0.975,591
nonPCAWG-WGS,Panc-AdenoCa,genome,8066491,0.962,1024
nonPCAWG-WGS,Panc-AdenoCa,genome,8066500,0.975,582
nonPCAWG-WGS,Panc-AdenoCa,genome,8067232,0.985,1208
nonPCAWG-WGS,Panc-AdenoCa,genome,8068539,0.975,1381
nonPCAWG-WGS,Panc-AdenoCa,genome,8068551,0.977,679
nonPCAWG-WGS,Panc-AdenoCa,genome,8068577,0.98,1257
nonPCAWG-WGS,Panc-AdenoCa,genome,8068600,0.983,1105
nonPCAWG-WGS,Panc-AdenoCa,genome,8068988,0.969,739
nonPCAWG-WGS,Panc-AdenoCa,genome,8069319,0.981,852
nonPCAWG-WGS,Panc-AdenoCa,genome,8069321,0.97,852
nonPCAWG-WGS,Panc-AdenoCa,genome,8069329,0.974,1062
nonPCAWG-WGS,Panc-AdenoCa,genome,8069331,0.977,795
nonPCAWG-WGS,Panc-AdenoCa,genome,8069334,0.974,1226
nonPCAWG-WGS,Panc-AdenoCa,genome,8069459,0.984,1931
nonPCAWG-WGS,Panc-AdenoCa,genome,8070202,0.981,1323
nonPCAWG-WGS,Panc-AdenoCa,genome,ASHPC_0006_Pa_P,0.972,1788
nonPCAWG-WGS,Panc-AdenoCa,genome,ASHPC_0013_Pa_P,0.974,1519
nonPCAWG-WGS,Panc-AdenoCa,genome,ASHPC_0014_Pa_P,0.965,297
nonPCAWG-WGS,Panc-AdenoCa,genome,ASHPC_0016_Pa_P,0.974,1172
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0005_Pa_X,0.969,1319
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0009_Pa_X,0.98,1271
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0010_Pa_X,0.977,937
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0017_Pa_P,0.972,511
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0020_Pa_X,0.973,971
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0085_Pa_P,0.972,418
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0102_Pa_P,0.964,631
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0114_Pa_P,0.971,980
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0127_Pa_P,0.992,893
nonPCAWG-WGS,Panc-AdenoCa,genome,PCSI_0286_Pa_P_526,0.916,72
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0026_T,0.946,100
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0107_T,0.946,65
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0681_T,0.769,0
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0850_T,0.803,10
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0962_T,0.951,128
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0968_T,0.935,27
nonPCAWG-WGS,Panc-Endocrine,genome,8051707,0.931,34
nonPCAWG-WGS,Panc-Endocrine,genome,8051709,0.909,23
nonPCAWG-WGS,Panc-Endocrine,genome,8067513,0.951,99
nonPCAWG-WGS,Panc-Endocrine,genome,8068597,0.933,50
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_0118_T,0.969,280
nonPCAWG-WGS,Panc-Endocrine,genome,8051712,0.977,1158
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1270_T,0.921,33
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1286_T,0.959,55
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1301_T,0.946,114
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1309_T,0.889,43
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1314_T,0.932,85
nonPCAWG-WGS,Panc-Endocrine,genome,ITNET_1317_T,0.862,13
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0006-F1,0.938,410
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0046-F1,0.886,23
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0048-F1,0.974,249
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0102-F1,0.962,98
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0114-F1,0.949,149
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0117-F1,0.978,369
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0127-F1,0.961,33
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0154-F1,0.963,261
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0166-F1,0.877,11
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0203-F1,0.984,1110
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0212-F1,0.92,626
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0234-F1,0.869,27
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0250-F1,0.97,22
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0251-F1,0.97,158
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0267-F1,0.956,174
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0344-F1,0.971,59
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0353-F1,0.96,106
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0361-F1,0.977,47
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0362-F1,0.96,120
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0363-F1,0.947,18
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0368-F1,0.974,16
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0373-F1,0.975,30
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0381-F1,0.97,16
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0391-F1,0.982,0
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0401-F1,0.982,31
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0407-F1,0.965,413
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0411-F1,0.976,28
nonPCAWG-WGS,Prost-AdenoCa,genome,CPCG0414-F1,0.983,123
nonPCAWG-WGS,Prost-AdenoCa,genome,EOPC-09_tumor,0.94,186
nonPCAWG-WGS,Prost-AdenoCa,genome,0007_CRUK_PC_0007_T4_DNA,0.932,85
nonPCAWG-WGS,Prost-AdenoCa,genome,0007_CRUK_PC_0007_T5_DNA,0.965,264
nonPCAWG-WGS,Prost-AdenoCa,genome,0008_CRUK_PC_0008_T3_DNA,0.876,21
nonPCAWG-WGS,Prost-AdenoCa,genome,0080_CRUK_PC_0080_T1_DNA,0.916,51
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-0508,0.947,243
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-0581,0.924,220
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-1701,0.926,284
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-1783,0.959,166
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-2832,0.953,384
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-3027,0.912,136
nonPCAWG-WGS,Prost-AdenoCa,genome,PR-3043,0.917,123
nonPCAWG-WGS,Prost-AdenoCa,genome,0001_CRUK_PC_0001_T1_DNA,0.931,227
nonPCAWG-WGS,Prost-AdenoCa,genome,0004_CRUK_PC_0004_T1_DNA,0.939,564
nonPCAWG-WGS,Prost-AdenoCa,genome,0005_CRUK_PC_0005_T1_DNA,0.936,375
nonPCAWG-WGS,Prost-AdenoCa,genome,0006_CRUK_PC_0006_N_DNA,0.944,116
nonPCAWG-WGS,Prost-AdenoCa,genome,0007_CRUK_PC_0007_N_DNA,0.921,76
nonPCAWG-WGS,Prost-AdenoCa,genome,0009_CRUK_PC_0009_T1_DNA,0.925,505
nonPCAWG-WGS,Prost-AdenoCa,genome,0012_CRUK_PC_0012_T1_DNA,0.943,534
nonPCAWG-WGS,Prost-AdenoCa,genome,0014_CRUK_PC_0014_T1_DNA,0.918,316
nonPCAWG-WGS,Prost-AdenoCa,genome,0023_CRUK_PC_0023_T1_DNA,0.951,555
nonPCAWG-WGS,Prost-AdenoCa,genome,0024_CRUK_PC_0024_T1_DNA,0.92,247
nonPCAWG-WGS,Prost-AdenoCa,genome,0025_CRUK_PC_0025_T1_DNA,0.967,714
nonPCAWG-WGS,Prost-AdenoCa,genome,0026_CRUK_PC_0026_T1_DNA,0.922,352
nonPCAWG-WGS,Prost-AdenoCa,genome,0027_CRUK_PC_0027_T1_DNA,0.966,293
nonPCAWG-WGS,Prost-AdenoCa,genome,0028_CRUK_PC_0028_T1_DNA,0.971,346
nonPCAWG-WGS,Prost-AdenoCa,genome,0029_CRUK_PC_0029_T1_DNA,0.96,221
nonPCAWG-WGS,Prost-AdenoCa,genome,0030_CRUK_PC_0030_T1_DNA,0.947,537
nonPCAWG-WGS,Prost-AdenoCa,genome,0031_CRUK_PC_0031_T1_DNA,0.942,629
nonPCAWG-WGS,Prost-AdenoCa,genome,0032_CRUK_PC_0032_T1_DNA,0.937,202
nonPCAWG-WGS,Prost-AdenoCa,genome,0033_CRUK_PC_0033_T1_DNA,0.931,276
nonPCAWG-WGS,Prost-AdenoCa,genome,0034_CRUK_PC_0034_T1_DNA,0.968,383
nonPCAWG-WGS,Prost-AdenoCa,genome,0035_CRUK_PC_0035_T1_DNA,0.949,508
nonPCAWG-WGS,Prost-AdenoCa,genome,0036_CRUK_PC_0036_T1_DNA,0.976,465
nonPCAWG-WGS,Prost-AdenoCa,genome,0037_CRUK_PC_0037_T1_DNA,0.944,775
nonPCAWG-WGS,Prost-AdenoCa,genome,0038_CRUK_PC_0038_T1_DNA,0.947,403
nonPCAWG-WGS,Prost-AdenoCa,genome,0039_CRUK_PC_0039_T1_DNA,0.949,359
nonPCAWG-WGS,Prost-AdenoCa,genome,0040_CRUK_PC_0040_T1_DNA,0.951,102
nonPCAWG-WGS,Prost-AdenoCa,genome,0041_CRUK_PC_0041_T1_DNA,0.971,401
nonPCAWG-WGS,Prost-AdenoCa,genome,0042_CRUK_PC_0042_T1_DNA,0.932,497
nonPCAWG-WGS,Prost-AdenoCa,genome,0043_CRUK_PC_0043_T1_DNA,0.947,90
nonPCAWG-WGS,Prost-AdenoCa,genome,0044_CRUK_PC_0044_T1_DNA,0.86,46
nonPCAWG-WGS,Prost-AdenoCa,genome,0045_CRUK_PC_0045_T1_DNA,0.966,615
nonPCAWG-WGS,Prost-AdenoCa,genome,0046_CRUK_PC_0046_T1_DNA,0.941,386
nonPCAWG-WGS,Prost-AdenoCa,genome,0047_CRUK_PC_0047_T1_DNA,0.919,533
nonPCAWG-WGS,Prost-AdenoCa,genome,0048_CRUK_PC_0048_T1_DNA,0.945,487
nonPCAWG-WGS,Prost-AdenoCa,genome,0049_CRUK_PC_0049_T1_DNA,0.955,551
nonPCAWG-WGS,Prost-AdenoCa,genome,0051_CRUK_PC_0051_T1_DNA,0.924,305
nonPCAWG-WGS,Prost-AdenoCa,genome,0052_CRUK_PC_0052_T1_DNA,0.94,641
nonPCAWG-WGS,Prost-AdenoCa,genome,0053_CRUK_PC_0053_T1_DNA,0.95,751
nonPCAWG-WGS,Prost-AdenoCa,genome,0054_CRUK_PC_0054_T1_DNA,0.952,544
nonPCAWG-WGS,Prost-AdenoCa,genome,0055_CRUK_PC_0055_T1_DNA,0.946,795
nonPCAWG-WGS,Prost-AdenoCa,genome,0057_CRUK_PC_0057_T1_DNA,0.961,395
nonPCAWG-WGS,Prost-AdenoCa,genome,0058_CRUK_PC_0058_T1_DNA,0.952,346
nonPCAWG-WGS,Prost-AdenoCa,genome,0059_CRUK_PC_0059_T1_DNA,0.959,686
nonPCAWG-WGS,Prost-AdenoCa,genome,0060_CRUK_PC_0060_T1_DNA,0.972,1162
nonPCAWG-WGS,Prost-AdenoCa,genome,0061_CRUK_PC_0061_T1_DNA,0.927,286
nonPCAWG-WGS,Prost-AdenoCa,genome,0062_CRUK_PC_0062_T1_DNA,0.955,1728
nonPCAWG-WGS,Prost-AdenoCa,genome,0063_CRUK_PC_0063_T1_DNA,0.963,218
nonPCAWG-WGS,Prost-AdenoCa,genome,0066_CRUK_PC_0066_T1_DNA,0.912,263
nonPCAWG-WGS,Prost-AdenoCa,genome,0073_CRUK_PC_0073_T1_DNA,0.947,375
nonPCAWG-WGS,Prost-AdenoCa,genome,0074_CRUK_PC_0074_T1_DNA,0.95,529
nonPCAWG-WGS,Prost-AdenoCa,genome,0076_CRUK_PC_0076_T1_DNA,0.974,473
nonPCAWG-WGS,Prost-AdenoCa,genome,0079_CRUK_PC_0079_T1_DNA,0.933,619
nonPCAWG-WGS,Prost-AdenoCa,genome,0081_CRUK_PC_0081_T1_DNA,0.97,265
nonPCAWG-WGS,Prost-AdenoCa,genome,0083_CRUK_PC_0083_T1_DNA,0.954,138
nonPCAWG-WGS,Prost-AdenoCa,genome,0085_CRUK_PC_0085_T1_DNA,0.919,296
nonPCAWG-WGS,Prost-AdenoCa,genome,0086_CRUK_PC_0086_T1_DNA,0.784,18
nonPCAWG-WGS,Prost-AdenoCa,genome,0087_CRUK_PC_0087_T1_DNA,0.951,504
nonPCAWG-WGS,Prost-AdenoCa,genome,0088_CRUK_PC_0088_T1_DNA,0.936,283
nonPCAWG-WGS,Prost-AdenoCa,genome,0092_CRUK_PC_0092_T1_DNA,0.948,518
nonPCAWG-WGS,Prost-AdenoCa,genome,0108_CRUK_PC_0108_T1_DNA,0.937,343
nonPCAWG-WGS,Prost-AdenoCa,genome,0109_CRUK_PC_0109_T1_DNA,0.914,217
nonPCAWG-WGS,Prost-AdenoCa,genome,0110_CRUK_PC_0110_T1_DNA,0.937,749
nonPCAWG-WGS,Prost-AdenoCa,genome,0111_CRUK_PC_0111_T1_DNA,0.955,704
nonPCAWG-WGS,Prost-AdenoCa,genome,0112_CRUK_PC_0112_T1_DNA,0.972,607
nonPCAWG-WGS,Prost-AdenoCa,genome,0113_CRUK_PC_0113_T1_DNA,0.951,899
nonPCAWG-WGS,Prost-AdenoCa,genome,0114_CRUK_PC_0114_T1_DNA,0.935,633
nonPCAWG-WGS,Prost-AdenoCa,genome,0115_CRUK_PC_0115_T1_DNA,0.951,553
nonPCAWG-WGS,Prost-AdenoCa,genome,0116_CRUK_PC_0116_T1_DNA,0.976,315
nonPCAWG-WGS,Prost-AdenoCa,genome,0117_CRUK_PC_0117_T1_DNA,0.931,278
nonPCAWG-WGS,Prost-AdenoCa,genome,0118_CRUK_PC_0118_T1_DNA,0.937,303
nonPCAWG-WGS,Prost-AdenoCa,genome,0119_CRUK_PC_0119_T1_DNA,0.932,311
nonPCAWG-WGS,Prost-AdenoCa,genome,0120_CRUK_PC_0120_T1_DNA,0.926,527
nonPCAWG-WGS,Prost-AdenoCa,genome,0122_CRUK_PC_0122_T1_DNA,0.929,636
nonPCAWG-WGS,Prost-AdenoCa,genome,0124_CRUK_PC_0124_T1_DNA,0.96,640
nonPCAWG-WGS,Prost-AdenoCa,genome,0125_CRUK_PC_0125_T1_DNA,0.955,657
nonPCAWG-WGS,Prost-AdenoCa,genome,0126_CRUK_PC_0126_T1_DNA,0.929,430
nonPCAWG-WGS,Prost-AdenoCa,genome,0127_CRUK_PC_0127_T1_DNA,0.954,654
nonPCAWG-WGS,Prost-AdenoCa,genome,0128_CRUK_PC_0128_T1_DNA,0.929,288
nonPCAWG-WGS,Sarcoma-bone,genome,IC009T_WGS,0.914,60
nonPCAWG-WGS,Sarcoma-bone,genome,IC015T_WGS,0.829,28
nonPCAWG-WGS,Sarcoma-bone,genome,IC024T_WGS,0.887,29
nonPCAWG-WGS,Sarcoma-bone,genome,IC034T_WGS,0.889,69
nonPCAWG-WGS,Sarcoma-bone,genome,IC044T_WGS,0.893,50
nonPCAWG-WGS,Sarcoma-bone,genome,IC046T_WGS,0.904,21
nonPCAWG-WGS,Sarcoma-bone,genome,IC049T_WGS,0.927,80
nonPCAWG-WGS,Sarcoma-bone,genome,IC053T_WGS,0.913,63
nonPCAWG-WGS,Sarcoma-bone,genome,IC057T_WGS,0.903,41
nonPCAWG-WGS,Sarcoma-bone,genome,IC058T_WGS,0.833,43
nonPCAWG-WGS,Sarcoma-bone,genome,IC066T_WGS,0.925,34
nonPCAWG-WGS,Sarcoma-bone,genome,IC067T_WGS,0.757,13
nonPCAWG-WGS,Sarcoma-bone,genome,IC071T_WGS,0.872,40
nonPCAWG-WGS,Sarcoma-bone,genome,IC076T_WGS,0.904,52
nonPCAWG-WGS,Sarcoma-bone,genome,IC080T_WGS,0.969,185
nonPCAWG-WGS,Sarcoma-bone,genome,IC082T_WGS,0.872,46
nonPCAWG-WGS,Sarcoma-bone,genome,IC086T_WGS,0.921,80
nonPCAWG-WGS,Sarcoma-bone,genome,IC092T_WGS,0.896,51
nonPCAWG-WGS,Sarcoma-bone,genome,IC093T_WGS,0.89,64
nonPCAWG-WGS,Sarcoma-bone,genome,IC096T_WGS,0.906,56
nonPCAWG-WGS,Sarcoma-bone,genome,IC1057T_WGS,0.968,159
nonPCAWG-WGS,Sarcoma-bone,genome,IC105T_WGS,0.926,57
nonPCAWG-WGS,Sarcoma-bone,genome,IC106T_WGS,0.919,81
nonPCAWG-WGS,Sarcoma-bone,genome,IC111T_WGS,0.927,62
nonPCAWG-WGS,Sarcoma-bone,genome,IC112T_WGS,0.936,87
nonPCAWG-WGS,Sarcoma-bone,genome,IC114T_WGS,0.811,29
nonPCAWG-WGS,Sarcoma-bone,genome,IC116T_WGS,0.911,56
nonPCAWG-WGS,Sarcoma-bone,genome,IC121T_WGS,0.954,62
nonPCAWG-WGS,Sarcoma-bone,genome,IC128T_WGS,0.937,62
nonPCAWG-WGS,Sarcoma-bone,genome,IC130T_WGS,0.892,47
nonPCAWG-WGS,Sarcoma-bone,genome,IC136T_WGS,0.943,142
nonPCAWG-WGS,Sarcoma-bone,genome,IC147T_WGS,0.889,56
nonPCAWG-WGS,Sarcoma-bone,genome,IC149T_WGS,0.876,34
nonPCAWG-WGS,Sarcoma-bone,genome,IC151T_WGS,0.927,64
nonPCAWG-WGS,Sarcoma-bone,genome,IC158T_WGS,0.922,64
nonPCAWG-WGS,Sarcoma-bone,genome,IC165T_WGS,0.921,39
nonPCAWG-WGS,Sarcoma-bone,genome,IC168T_WGS,0.935,31
nonPCAWG-WGS,Sarcoma-bone,genome,IC174T_WGS,0.948,88
nonPCAWG-WGS,Sarcoma-bone,genome,IC193T_WGS,0.876,27
nonPCAWG-WGS,Sarcoma-bone,genome,IC196T_WGS,0.945,73
nonPCAWG-WGS,Sarcoma-bone,genome,IC197T_WGS,0.932,67
nonPCAWG-WGS,Sarcoma-bone,genome,IC198T_WGS,0.894,44
nonPCAWG-WGS,Sarcoma-bone,genome,IC204T_WGS,0.781,4
nonPCAWG-WGS,Sarcoma-bone,genome,IC213T_WGS,0.943,48
nonPCAWG-WGS,Sarcoma-bone,genome,IC215T_WGS,0.865,15
nonPCAWG-WGS,Sarcoma-bone,genome,IC224T_WGS,0.897,35
nonPCAWG-WGS,Sarcoma-bone,genome,IC248T_WGS,0.929,85
nonPCAWG-WGS,Sarcoma-bone,genome,IC254T_WGS,0.92,76
nonPCAWG-WGS,Sarcoma-bone,genome,IC262T_WGS,0.908,71
nonPCAWG-WGS,Sarcoma-bone,genome,IC263T_WGS,0.931,37
nonPCAWG-WGS,Sarcoma-bone,genome,IC264T_WGS,0.918,74
nonPCAWG-WGS,Sarcoma-bone,genome,IC267T_WGS,0.924,94
nonPCAWG-WGS,Sarcoma-bone,genome,IC268T_WGS,0.934,78
nonPCAWG-WGS,Sarcoma-bone,genome,IC270T_WGS,0.893,85
nonPCAWG-WGS,Sarcoma-bone,genome,IC271T_WGS,0.943,136
nonPCAWG-WGS,Sarcoma-bone,genome,IC272T_WGS,0.908,60
nonPCAWG-WGS,Sarcoma-bone,genome,IC274T_WGS,0.929,65
nonPCAWG-WGS,Sarcoma-bone,genome,IC275T_WGS,0.93,56
nonPCAWG-WGS,Sarcoma-bone,genome,IC277T_WGS,0.934,107
nonPCAWG-WGS,Sarcoma-bone,genome,IC278T_WGS,0.914,86
nonPCAWG-WGS,Sarcoma-bone,genome,IC279T_WGS,0.911,51
nonPCAWG-WGS,Sarcoma-bone,genome,IC280T_WGS,0.936,51
nonPCAWG-WGS,Sarcoma-bone,genome,IC282T_WGS,0.965,85
nonPCAWG-WGS,Sarcoma-bone,genome,IC283T_WGS,0.867,47
nonPCAWG-WGS,Sarcoma-bone,genome,IC284T_WGS,0.933,99
nonPCAWG-WGS,Sarcoma-bone,genome,IC286T_WGS,0.955,59
nonPCAWG-WGS,Sarcoma-bone,genome,IC288T_WGS,0.894,43
nonPCAWG-WGS,Sarcoma-bone,genome,IC294T_WGS,0.897,45
nonPCAWG-WGS,Sarcoma-bone,genome,IC295T_WGS,0.947,94
nonPCAWG-WGS,Sarcoma-bone,genome,IC296T_WGS,0.955,145
nonPCAWG-WGS,Sarcoma-bone,genome,IC297T_WGS,0.96,95
nonPCAWG-WGS,Sarcoma-bone,genome,IC299T_WGS,0.852,39
nonPCAWG-WGS,Sarcoma-bone,genome,IC300T_WGS,0.922,64
nonPCAWG-WGS,Sarcoma-bone,genome,IC301T_WGS,0.895,43
nonPCAWG-WGS,Sarcoma-bone,genome,IC302T_WGS,0.928,76
nonPCAWG-WGS,Sarcoma-bone,genome,IC303T_WGS,0.894,33
nonPCAWG-WGS,Sarcoma-bone,genome,IC318T_WGS,0.705,0
nonPCAWG-WGS,Sarcoma-bone,genome,IC319T_WGS,0.877,36
nonPCAWG-WGS,Sarcoma-bone,genome,IC323T_WGS,0.896,58
nonPCAWG-WGS,Sarcoma-bone,genome,IC324T_WGS,0.943,95
nonPCAWG-WGS,Sarcoma-bone,genome,IC325T_WGS,0.963,50
nonPCAWG-WGS,Sarcoma-bone,genome,IC343T_WGS,0.936,57
nonPCAWG-WGS,Sarcoma-bone,genome,IC349T_WGS,0.818,21
nonPCAWG-WGS,Sarcoma-bone,genome,IC831T_WGS,0.939,47
nonPCAWG-WGS,Sarcoma-bone,genome,IC929T_WGS,0.915,36
nonPCAWG-WGS,Sarcoma-bone,genome,IC973T_WGS,0.88,37
nonPCAWG-WGS,Sarcoma-bone,genome,IC054T_WGS,0.822,31
nonPCAWG-WGS,Sarcoma-bone,genome,IC242T_WGS,0.715,7
nonPCAWG-WGS,Sarcoma-bone,genome,IC273T_WGS,0.889,40
nonPCAWG-WGS,Sarcoma-bone,genome,IC305T_WGS,0.906,42
nonPCAWG-WGS,Sarcoma-bone,genome,IC306T_WGS,0.934,92
nonPCAWG-WGS,Sarcoma-bone,genome,IC309T_WGS,0.933,66
nonPCAWG-WGS,Sarcoma-bone,genome,IC311T_WGS,0.809,29
nonPCAWG-WGS,Sarcoma,genome,PD7188a,0.917,262
nonPCAWG-WGS,Sarcoma,genome,PD7192a,0.971,269
nonPCAWG-WGS,Sarcoma,genome,PD7530a,0.955,190
nonPCAWG-WGS,Skin-Melanoma,genome,ML_04_T_01,0.97,799
nonPCAWG-WGS,Skin-Melanoma,genome,ML_06_T_01,0.972,543
nonPCAWG-WGS,Skin-Melanoma,genome,ML_07_T_01,0.983,369
nonPCAWG-WGS,Skin-Melanoma,genome,ML_08_T_01,0.978,5338
nonPCAWG-WGS,Skin-Melanoma,genome,ML_09_T_01,0.975,408
nonPCAWG-WGS,Skin-Melanoma,genome,ML_102_T_01,0.996,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_103_T_01,0.975,146
nonPCAWG-WGS,Skin-Melanoma,genome,ML_104_T_01,0.996,125
nonPCAWG-WGS,Skin-Melanoma,genome,ML_106_T_01,0.935,240
nonPCAWG-WGS,Skin-Melanoma,genome,ML_108_T_01,0.967,624
nonPCAWG-WGS,Skin-Melanoma,genome,ML_10_T_01,0.984,213
nonPCAWG-WGS,Skin-Melanoma,genome,ML_12_T_01,0.966,256
nonPCAWG-WGS,Skin-Melanoma,genome,ML_14_T_01,0.991,204
nonPCAWG-WGS,Skin-Melanoma,genome,ML_15_T_01,0.977,242
nonPCAWG-WGS,Skin-Melanoma,genome,ML_17_T_01,0.993,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_21_T_01,0.99,1119
nonPCAWG-WGS,Skin-Melanoma,genome,ML_23_T_01,0.999,348
nonPCAWG-WGS,Skin-Melanoma,genome,ML_24_T_01,0.988,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_28_T_01,0.967,856
nonPCAWG-WGS,Skin-Melanoma,genome,ML_29_T_01,0.961,145
nonPCAWG-WGS,Skin-Melanoma,genome,ML_30_T_01,0.966,313
nonPCAWG-WGS,Skin-Melanoma,genome,ML_31_T_01,0.995,201
nonPCAWG-WGS,Skin-Melanoma,genome,ML_33_T_01,0.997,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_34_T_01,0.967,176
nonPCAWG-WGS,Skin-Melanoma,genome,ML_36_T_01,0.993,325
nonPCAWG-WGS,Skin-Melanoma,genome,ML_37_T_01,0.991,390
nonPCAWG-WGS,Skin-Melanoma,genome,ML_38_T_01,0.998,322
nonPCAWG-WGS,Skin-Melanoma,genome,ML_39_T_01,0.991,278
nonPCAWG-WGS,Skin-Melanoma,genome,ML_41_T_01,0.976,520
nonPCAWG-WGS,Skin-Melanoma,genome,ML_42_T_01,0.995,541
nonPCAWG-WGS,Skin-Melanoma,genome,ML_43_T_01,0.97,123
nonPCAWG-WGS,Skin-Melanoma,genome,ML_44_T_01,0.997,168
nonPCAWG-WGS,Skin-Melanoma,genome,ML_45_T_01,0.997,86
nonPCAWG-WGS,Skin-Melanoma,genome,ML_47_T_01,0.93,188
nonPCAWG-WGS,Skin-Melanoma,genome,ML_50_T_01,0.967,246
nonPCAWG-WGS,Skin-Melanoma,genome,ML_52_T_01,0.994,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_53_T_01,0.998,0
nonPCAWG-WGS,Skin-Melanoma,genome,ML_55_T_01,0.976,508
